rc=0
stdout=# tracer: nop
#
# entries-in-buffer/entries-written: 224/224   #P:8
#
#                                _-----=> irqs-off
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
    binder:940_4-8272    [000] ..... 18002.713832: suspend_resume: suspend_enter[3] begin
    binder:940_4-8272    [000] ..... 18002.713839: suspend_resume: sync_filesystems[0] begin
    binder:940_4-8272    [002] ..... 18002.719308: suspend_resume: sync_filesystems[0] end
    binder:940_4-8272    [002] ..... 18002.719345: suspend_resume: freeze_processes[0] begin
    binder:940_4-8272    [002] ..... 18002.728106: suspend_resume: freeze_processes[0] end
    binder:940_4-8272    [002] ..... 18002.728109: suspend_resume: suspend_enter[3] end
    binder:940_4-8272    [002] ..... 18002.728114: suspend_resume: dpm_prepare[2] begin
    binder:940_4-8272    [002] ..... 18002.729628: suspend_resume: dpm_prepare[2] end
    binder:940_4-8272    [002] ..... 18002.729631: suspend_resume: dpm_suspend[2] begin
    binder:940_4-8272    [004] ..... 18002.731286: swrm_device_suspend: swrm_device_suspend: swrm state: 3
    binder:940_4-8272    [004] ..... 18002.731292: swrm_device_suspend: swrm_device_suspend: swrm state: 3
    binder:940_4-8272    [004] ..... 18002.731369: lpi_pinctrl_suspend: lpi_pinctrl_suspend: system suspend
    binder:940_4-8272    [000] ..... 18002.826404: suspend_resume: dpm_suspend[2] end
    binder:940_4-8272    [000] ..... 18002.826421: suspend_resume: dpm_suspend_late[2] begin
    binder:940_4-8272    [002] ..... 18002.829428: suspend_resume: dpm_suspend_late[2] end
    binder:940_4-8272    [002] ..... 18002.830289: suspend_resume: dpm_suspend_noirq[2] begin
    binder:940_4-8272    [002] ..... 18002.832104: suspend_resume: dpm_suspend_noirq[2] end
    binder:940_4-8272    [002] ..... 18002.832111: suspend_resume: CPU_OFF[1] begin
    binder:940_4-8272    [000] ..... 18002.836317: suspend_resume: CPU_OFF[1] end
    binder:940_4-8272    [000] ..... 18002.836318: suspend_resume: CPU_OFF[2] begin
    binder:940_4-8272    [000] ..... 18002.839840: suspend_resume: CPU_OFF[2] end
    binder:940_4-8272    [000] ..... 18002.839841: suspend_resume: CPU_OFF[3] begin
    binder:940_4-8272    [000] ..... 18002.841575: suspend_resume: CPU_OFF[3] end
    binder:940_4-8272    [000] ..... 18002.841577: suspend_resume: CPU_OFF[4] begin
    binder:940_4-8272    [000] ..... 18002.843063: suspend_resume: CPU_OFF[4] end
    binder:940_4-8272    [000] ..... 18002.843064: suspend_resume: CPU_OFF[5] begin
    binder:940_4-8272    [000] ..... 18002.844739: suspend_resume: CPU_OFF[5] end
    binder:940_4-8272    [000] ..... 18002.844741: suspend_resume: CPU_OFF[6] begin
    binder:940_4-8272    [000] ..... 18002.847054: suspend_resume: CPU_OFF[6] end
    binder:940_4-8272    [000] ..... 18002.847103: suspend_resume: CPU_ON[1] begin
    binder:940_4-8272    [000] ..... 18002.849166: suspend_resume: CPU_ON[1] end
    binder:940_4-8272    [000] ..... 18002.849171: suspend_resume: CPU_ON[2] begin
    binder:940_4-8272    [000] ..... 18002.851182: suspend_resume: CPU_ON[2] end
    binder:940_4-8272    [000] ..... 18002.851187: suspend_resume: CPU_ON[3] begin
    binder:940_4-8272    [000] ..... 18002.853581: suspend_resume: CPU_ON[3] end
    binder:940_4-8272    [000] ..... 18002.853586: suspend_resume: CPU_ON[4] begin
    binder:940_4-8272    [000] ..... 18002.854907: suspend_resume: CPU_ON[4] end
    binder:940_4-8272    [000] ..... 18002.854913: suspend_resume: CPU_ON[5] begin
    binder:940_4-8272    [000] ..... 18002.856361: suspend_resume: CPU_ON[5] end
    binder:940_4-8272    [000] ..... 18002.856368: suspend_resume: CPU_ON[6] begin
    binder:940_4-8272    [000] ..... 18002.857906: suspend_resume: CPU_ON[6] end
    binder:940_4-8272    [000] ..... 18002.857913: suspend_resume: dpm_resume_noirq[16] begin
    binder:940_4-8272    [002] ..... 18002.859472: suspend_resume: dpm_resume_noirq[16] end
    binder:940_4-8272    [002] ..... 18002.861262: suspend_resume: dpm_resume_early[16] begin
    binder:940_4-8272    [002] ..... 18002.862695: suspend_resume: dpm_resume_early[16] end
    binder:940_4-8272    [002] ..... 18002.862697: suspend_resume: dpm_resume[16] begin
    binder:940_4-8272    [004] ..... 18002.895002: suspend_resume: dpm_resume[16] end
    binder:940_4-8272    [004] ..... 18002.895006: suspend_resume: dpm_complete[16] begin
    binder:940_4-8272    [004] ..... 18002.896308: suspend_resume: dpm_complete[16] end
    binder:940_4-8272    [004] ..... 18002.896309: suspend_resume: resume_console[3] begin
    binder:940_4-8272    [004] ..... 18002.896364: suspend_resume: resume_console[3] end
    binder:940_4-8272    [004] ..... 18002.896365: suspend_resume: thaw_processes[0] begin
    binder:940_4-8272    [004] ..... 18002.906011: suspend_resume: thaw_processes[0] end
    binder:940_3-2215    [000] ..... 18002.933888: suspend_resume: suspend_enter[3] begin
    binder:940_3-2215    [000] ..... 18002.933893: suspend_resume: sync_filesystems[0] begin
    binder:940_3-2215    [000] ..... 18002.937535: suspend_resume: sync_filesystems[0] end
