rc=0
stdout=# tracer: nop
#
# entries-in-buffer/entries-written: 5209/5209   #P:8
#
#                                _-----=> irqs-off
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
          <idle>-0       [001] d..1. 17935.140413: lpm_gov_select: state:0 qos-us:44 sleep-us:6266160 reason:0x20
          <idle>-0       [004] d..1. 17935.140487: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:9223363946996966759 reason:0x20
          <idle>-0       [000] d..1. 17935.140519: lpm_gov_select: state:0 qos-us:44 sleep-us:2665253 reason:0x20
          <idle>-0       [001] d..1. 17935.140521: lpm_gov_select: state:0 qos-us:44 sleep-us:6266160 reason:0x20
          <idle>-0       [002] d..1. 17935.140687: lpm_gov_select: state:0 qos-us:44 sleep-us:1994337 reason:0x20
          <idle>-0       [006] d..1. 17935.140752: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:819844 reason:0x20
          <idle>-0       [004] d..1. 17935.140889: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:9223363946996564884 reason:0x20
          <idle>-0       [002] d..1. 17935.141048: lpm_gov_select: state:0 qos-us:44 sleep-us:1632983 reason:0x20
          <idle>-0       [002] d..1. 17935.141242: lpm_gov_select: state:0 qos-us:44 sleep-us:91823 reason:0x20
          <idle>-0       [001] d..1. 17935.141322: lpm_gov_select: state:0 qos-us:44 sleep-us:5358452 reason:0x20
          <idle>-0       [002] d..1. 17935.141395: lpm_gov_select: state:0 qos-us:44 sleep-us:1283035 reason:0x20
          <idle>-0       [006] d..1. 17935.141582: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:9223363946995869467 reason:0x20
          <idle>-0       [005] d..1. 17935.141647: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:9223363946995804780 reason:0x20
          <idle>-0       [000] d..1. 17935.141971: lpm_gov_select: state:0 qos-us:44 sleep-us:360305 reason:0x20
          <idle>-0       [005] d..1. 17935.141997: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:9223363946995453426 reason:0x20
          <idle>-0       [005] d..1. 17935.142294: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:9223363946995156238 reason:0x20
          <idle>-0       [000] d..1. 17935.142295: lpm_gov_select: state:0 qos-us:44 sleep-us:34940 reason:0x20
          <idle>-0       [000] d..1. 17935.142862: lpm_gov_select: state:0 qos-us:44 sleep-us:16138586 reason:0x20
          <idle>-0       [001] d..1. 17935.142947: lpm_gov_select: state:0 qos-us:44 sleep-us:3736785 reason:0x20
          <idle>-0       [002] d..1. 17935.142961: lpm_gov_select: state:0 qos-us:44 sleep-us:7180521 reason:0x20
          <idle>-0       [002] d..1. 17935.144129: lpm_gov_select: state:0 qos-us:44 sleep-us:6010833 reason:0x20
          <idle>-0       [000] d..1. 17935.144136: lpm_gov_select: state:0 qos-us:44 sleep-us:14864992 reason:0x20
          <idle>-0       [002] d..1. 17935.145457: lpm_gov_select: state:0 qos-us:44 sleep-us:4682708 reason:0x20
          <idle>-0       [000] d..1. 17935.145488: lpm_gov_select: state:0 qos-us:44 sleep-us:13512700 reason:0x20
