rc=0
stdout=# tracer: nop
#
# entries-in-buffer/entries-written: 969/4217   #P:8
#
#                                _-----=> irqs-off
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
          <idle>-0       [004] d..1. 17844.190612: lpm_gov_select: state:1 qos-us:2000000000 sleep-us:205527 reason:0x0
          <idle>-0       [004] d..1. 17844.235826: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:160314583 reason:0x20
          <idle>-0       [004] d..1. 17844.236132: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:160314583 reason:0x20
          <idle>-0       [004] d..1. 17844.236343: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:160314583 reason:0x20
          <idle>-0       [004] d..1. 17844.240650: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:155487813 reason:0x20
##### CPU 6 buffer started ####
          <idle>-0       [006] d..1. 17844.260018: lpm_gov_select: state:0 qos-us:44 sleep-us:285086 reason:0x200
          <idle>-0       [006] d..1. 17844.273104: lpm_gov_select: state:1 qos-us:2000000000 sleep-us:271998 reason:0x0
##### CPU 7 buffer started ####
          <idle>-0       [007] d..1. 17844.273805: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:242558125 reason:0x20
          <idle>-0       [007] d..1. 17844.273906: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:242454010 reason:0x20
          <idle>-0       [004] d..1. 17844.273935: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:122204740 reason:0x20
          <idle>-0       [004] d..1. 17844.274015: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:122204740 reason:0x20
          <idle>-0       [004] d..1. 17844.274972: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:121165156 reason:0x20
          <idle>-0       [004] d..1. 17844.283478: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:112659 reason:0x800
          <idle>-0       [004] d..1. 17844.283803: lpm_gov_select: state:1 qos-us:2000000000 sleep-us:112333 reason:0x0
          <idle>-0       [004] d..1. 17844.325703: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:70435521 reason:0x20
          <idle>-0       [004] d..1. 17844.326051: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:70085104 reason:0x20
          <idle>-0       [004] d..1. 17844.334454: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:61684010 reason:0x20
          <idle>-0       [007] d..1. 17844.334886: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:181477604 reason:0x20
          <idle>-0       [004] d..1. 17844.334902: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:61233958 reason:0x20
          <idle>-0       [004] d..1. 17844.334947: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:61188958 reason:0x20
          <idle>-0       [007] d..1. 17844.334954: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:1925833 reason:0x20
          <idle>-0       [007] d..1. 17844.334972: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:181388385 reason:0x20
          <idle>-0       [007] d..1. 17844.335010: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:181350312 reason:0x20
          <idle>-0       [004] d..1. 17844.335027: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:61108281 reason:0x20
          <idle>-0       [004] d..1. 17844.335090: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:61045000 reason:0x20
          <idle>-0       [004] d..1. 17844.335113: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:61022240 reason:0x20
