rc=0
stdout=# tracer: nop
#
# entries-in-buffer/entries-written: 1166/4409   #P:8
#
#                                _-----=> irqs-off
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
          <idle>-0       [003] d..1. 17794.375337: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:15133994517 reason:0x20
          <idle>-0       [003] d..1. 17794.376368: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:15132963423 reason:0x20
          <idle>-0       [003] d..1. 17794.376755: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:15132963423 reason:0x20
          <idle>-0       [003] d..1. 17794.376926: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:15132402382 reason:0x20
          <idle>-0       [003] d..1. 17794.378384: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:15130943527 reason:0x20
          <idle>-0       [003] d..1. 17794.378475: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:3993983124 reason:0x20
          <idle>-0       [003] d..1. 17794.381653: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:3990807187 reason:0x20
          <idle>-0       [003] d..1. 17794.382872: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:3989584634 reason:0x20
          <idle>-0       [003] d..1. 17794.390247: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:3982211926 reason:0x20
          <idle>-0       [003] d..1. 17794.390493: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:3982211926 reason:0x20
          <idle>-0       [003] d..1. 17794.391699: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:3980757343 reason:0x20
          <idle>-0       [003] d..1. 17794.392205: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:3980254687 reason:0x20
          <idle>-0       [003] d..1. 17794.393353: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:3979103697 reason:0x20
          <idle>-0       [003] d..1. 17794.393423: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:87083614 reason:0x20
          <idle>-0       [003] d..1. 17794.393600: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:86908406 reason:0x20
          <idle>-0       [003] d..1. 17794.393969: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:86539395 reason:0x20
          <idle>-0       [003] d..1. 17794.394491: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:86539395 reason:0x20
##### CPU 4 buffer started ####
          <idle>-0       [004] d..1. 17794.401475: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:13800138392 reason:0x20
