# tracer: nop
#
# entries-in-buffer/entries-written: 468/468   #P:8
#
#                                _-----=> irqs-off
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
          <idle>-0       [000] d..1. 15918.905150: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:10877916 reason:0x20
          <idle>-0       [001] d..1. 15918.905697: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:2330312 reason:0x20
          <idle>-0       [000] dn.1. 15918.905912: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:2114478 reason:0x20
          <idle>-0       [001] d..1. 15918.905976: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:2048281 reason:0x20
          <idle>-0       [002] d..1. 15918.906011: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:2014374 reason:0x20
          <idle>-0       [002] d..1. 15918.906138: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:97084 reason:0x20
          <idle>-0       [000] d..1. 15918.906224: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:8174636 reason:0x20
          <idle>-0       [002] d..1. 15918.906281: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:1741874 reason:0x20
          <idle>-0       [000] d..1. 15918.908110: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:7916197 reason:0x20
          <idle>-0       [001] d..1. 15918.908118: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:3905885 reason:0x20
          <idle>-0       [002] d..1. 15918.908137: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:170677 reason:0x20
          <idle>-0       [002] d..1. 15918.908180: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:127656 reason:0x20
          <idle>-0       [002] d..1. 15918.908379: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:3643749 reason:0x20
          <idle>-0       [002] d..1. 15918.908914: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:3108801 reason:0x20
          <idle>-0       [000] d..1. 15918.908922: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:7104739 reason:0x20
          <idle>-0       [002] d..1. 15918.909839: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:2183124 reason:0x20
          <idle>-0       [000] d..1. 15918.910060: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:9966614 reason:0x20
          <idle>-0       [001] d..1. 15918.910177: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:1848645 reason:0x20
          <idle>-0       [000] d..1. 15918.910200: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:9825051 reason:0x20
          <idle>-0       [002] d..1. 15918.910267: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:1758593 reason:0x20
          <idle>-0       [000] d..1. 15918.910284: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:9740051 reason:0x20
          <idle>-0       [000] d..1. 15918.911006: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:9019426 reason:0x20
          <idle>-0       [006] d..1. 15918.911947: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:183352552 reason:0x20
          <idle>-0       [001] d..1. 15918.912287: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:7739687 reason:0x20
          <idle>-0       [000] d..1. 15918.912331: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:7695728 reason:0x20
          <idle>-0       [004] d..1. 15918.912350: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:274069 reason:0x800
          <idle>-0       [002] d..1. 15918.912408: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:3616562 reason:0x20
          <idle>-0       [005] d..1. 15918.912573: lpm_gov_select: state:1 qos-us:2000000000 sleep-us:350262231 reason:0x0
          <idle>-0       [004] d..1. 15918.912969: lpm_gov_select: state:1 qos-us:2000000000 sleep-us:273449 reason:0x0
          <idle>-0       [002] d..1. 15918.916084: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:2336771 reason:0x20
          <idle>-0       [002] d..1. 15918.916177: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:2243229 reason:0x20
          <idle>-0       [002] d..1. 15918.918487: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:1535937 reason:0x20
          <idle>-0       [000] d..1. 15918.920357: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:3669218 reason:0x20
          <idle>-0       [001] d..1. 15918.920365: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:3659947 reason:0x20
          <idle>-0       [006] d..1. 15918.920453: lpm_gov_select: state:1 qos-us:2000000000 sleep-us:174847 reason:0x0
          <idle>-0       [002] d..1. 15918.920588: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:3436926 reason:0x20
          <idle>-0       [001] d..1. 15918.924088: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:7936926 reason:0x20
          <idle>-0       [000] dn.1. 15918.924149: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:3883906 reason:0x20
          <idle>-0       [002] d..1. 15918.924150: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:3878385 reason:0x20
          <idle>-0       [000] d..1. 15918.924246: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:3784062 reason:0x20
          <idle>-0       [000] d..1. 15918.925950: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:2082551 reason:0x20
          <idle>-0       [002] d..1. 15918.927783: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:3878385 reason:0x20
          <idle>-0       [001] d..1. 15918.927786: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:7936926 reason:0x20
          <idle>-0       [002] d..1. 15918.928121: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:414896 reason:0x20
          <idle>-0       [007] d..1. 15918.929322: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:409286702395 reason:0x20
          <idle>-0       [002] dn.1. 15918.929388: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:2641822 reason:0x20
          <idle>-0       [007] d..1. 15918.929457: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:409286564999 reason:0x20
          <idle>-0       [002] dn.1. 15918.929530: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:8347657 reason:0x20
          <idle>-0       [002] dn.1. 15918.929587: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:8426718 reason:0x20
          <idle>-0       [000] d..1. 15918.929635: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:2398124 reason:0x20
          <idle>-0       [002] d..1. 15918.929914: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:8170886 reason:0x20
          <idle>-0       [003] d..1. 15918.930054: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:60501250 reason:0x20
          <idle>-0       [000] d..1. 15918.930133: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:1898020 reason:0x20
          <idle>-0       [003] d..1. 15918.930248: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:60304583 reason:0x20
          <idle>-0       [000] d..1. 15918.930501: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:1529426 reason:0x20
          <idle>-0       [003] d..1. 15918.930520: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:60030729 reason:0x20
          <idle>-0       [003] d..1. 15918.930666: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:59884427 reason:0x20
          <idle>-0       [002] d..1. 15918.931014: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:7690104 reason:0x20
          <idle>-0       [003] d..1. 15918.931336: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:59215417 reason:0x20
          <idle>-0       [000] d..1. 15918.931351: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:682656 reason:0x20
          <idle>-0       [003] d..1. 15918.931395: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:59155677 reason:0x20
          <idle>-0       [002] dn.1. 15918.931519: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:7185938 reason:0x20
          <idle>-0       [003] d..1. 15918.931530: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:59021823 reason:0x20
          <idle>-0       [002] d..1. 15918.931682: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:7021198 reason:0x20
          <idle>-0       [003] d..1. 15918.931929: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:58625260 reason:0x20
          <idle>-0       [003] d..1. 15918.932011: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:58539896 reason:0x20
          <idle>-0       [003] d..1. 15918.932159: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:58391562 reason:0x20
          <idle>-0       [003] d..1. 15918.932502: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:58048437 reason:0x20
          <idle>-0       [002] d..1. 15918.932581: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:6122761 reason:0x20
          <idle>-0       [003] d..1. 15918.932743: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:57808177 reason:0x20
          <idle>-0       [006] d..1. 15918.932966: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:162335417 reason:0x20
          <idle>-0       [001] dn.1. 15918.933182: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:2854687 reason:0x20
          <idle>-0       [003] d..1. 15918.933260: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:57291667 reason:0x20
          <idle>-0       [000] d..1. 15918.933267: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:2767239 reason:0x20
          <idle>-0       [001] dn.1. 15918.933275: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:2753906 reason:0x20
          <idle>-0       [006] d..1. 15918.933300: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:161999948 reason:0x20
          <idle>-0       [000] d..1. 15918.933478: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:2551353 reason:0x20
          <idle>-0       [006] d..1. 15918.933576: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:161722552 reason:0x20
          <idle>-0       [000] dn.1. 15918.933601: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:2426406 reason:0x20
          <idle>-0       [006] d..1. 15918.933639: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:161660469 reason:0x20
          <idle>-0       [003] d..1. 15918.933690: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:56861406 reason:0x20
          <idle>-0       [006] d..1. 15918.933710: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:161588854 reason:0x20
          <idle>-0       [001] d..1. 15918.933711: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:2321093 reason:0x20
          <idle>-0       [000] d..1. 15918.933714: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:2316562 reason:0x20
          <idle>-0       [003] d..1. 15918.933783: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:56769792 reason:0x20
