# tracer: nop
#
# entries-in-buffer/entries-written: 137/137   #P:8
#
#                                _-----=> irqs-off
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
          <idle>-0       [002] d..1. 10177.901171: lpm_gov_select: state:0 qos-us:44 sleep-us:1931979 reason:0x20
          <idle>-0       [004] d..1. 10177.901405: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:130398001043 reason:0x20
          <idle>-0       [005] d..1. 10177.901406: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:59804181302 reason:0x20
          <idle>-0       [003] d..1. 10177.901576: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:1321212402 reason:0x20
          <idle>-0       [005] d..1. 10177.901577: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:59804007604 reason:0x20
          <idle>-0       [005] d..1. 10177.901607: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:59803977708 reason:0x20
          <idle>-0       [005] d..1. 10177.901617: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:59803967500 reason:0x20
          <idle>-0       [004] d..1. 10177.901652: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:130397753387 reason:0x20
          <idle>-0       [003] d..1. 10177.901654: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:1321132245 reason:0x20
          <idle>-0       [003] d..1. 10177.901679: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:1321107714 reason:0x20
          <idle>-0       [005] d..1. 10177.901690: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:59803895729 reason:0x20
          <idle>-0       [002] d..1. 10177.901713: lpm_gov_select: state:0 qos-us:44 sleep-us:1388437 reason:0x20
          <idle>-0       [003] d..1. 10177.901762: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:1321024954 reason:0x20
          <idle>-0       [004] d..1. 10177.901762: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:130397642501 reason:0x20
          <idle>-0       [003] d..1. 10177.901826: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:1320960527 reason:0x20
          <idle>-0       [004] d..1. 10177.901853: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:130397551512 reason:0x20
          <idle>-0       [004] d..1. 10177.901970: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:130397434585 reason:0x20
          <idle>-0       [005] d..1. 10177.902089: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:59803498490 reason:0x20
          <idle>-0       [004] d..1. 10177.902173: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:130397231772 reason:0x20
          <idle>-0       [001] d..1. 10177.902222: lpm_gov_select: state:0 qos-us:44 sleep-us:20474056 reason:0x20
          <idle>-0       [005] d..1. 10177.902242: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:59803343177 reason:0x20
          <idle>-0       [005] d..1. 10177.902272: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:59803313125 reason:0x20
          <idle>-0       [001] d..1. 10177.902314: lpm_gov_select: state:0 qos-us:44 sleep-us:8396667 reason:0x20
          <idle>-0       [001] d..1. 10177.902782: lpm_gov_select: state:0 qos-us:44 sleep-us:3909889 reason:0x20
          <idle>-0       [001] d..1. 10177.903010: lpm_gov_select: state:0 qos-us:44 sleep-us:3682493 reason:0x20
          <idle>-0       [001] d..1. 10177.906889: lpm_gov_select: state:0 qos-us:44 sleep-us:3803222 reason:0x20
          <idle>-0       [006] d..1. 10177.907225: lpm_gov_select: state:1 qos-us:2000000000 sleep-us:9223367280038240 reason:0x0
          <idle>-0       [001] d..1. 10177.909138: lpm_gov_select: state:0 qos-us:44 sleep-us:3803222 reason:0x20
          <idle>-0       [000] d..1. 10177.909258: lpm_gov_select: state:0 qos-us:44 sleep-us:13438483 reason:0x20
          <idle>-0       [003] d..1. 10177.910334: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:1312453 reason:0x800
          <idle>-0       [003] d..1. 10177.910464: lpm_gov_select: state:1 qos-us:2000000000 sleep-us:1312324 reason:0x0
          <idle>-0       [001] d..1. 10177.910593: lpm_gov_select: state:0 qos-us:44 sleep-us:101764 reason:0x20
          <idle>-0       [004] d..1. 10177.910685: lpm_gov_select: state:0 qos-us:2000000000 sleep-us:130388720 reason:0x800
          <idle>-0       [001] d..1. 10177.910746: lpm_gov_select: state:0 qos-us:44 sleep-us:3945983 reason:0x20
          <idle>-0       [004] d..1. 10177.910876: lpm_gov_select: state:1 qos-us:2000000000 sleep-us:130388530 reason:0x0
          <idle>-0       [000] d..1. 10177.911674: lpm_gov_select: state:0 qos-us:44 sleep-us:11019472 reason:0x20
          <idle>-0       [001] d..1. 10177.912601: lpm_gov_select: state:0 qos-us:44 sleep-us:2091243 reason:0x20
          <idle>-0       [001] d..1. 10177.913158: lpm_gov_select: state:0 qos-us:44 sleep-us:1532754 reason:0x20
